,person_id,player_name,birthdate,school,country,height,weight,season_exp,jersey,position,rosterstatus,games_played_current_season_flag,team_id,team_name,greatest_75_flag
0,76001,Alaa Abdelnaby,1968-06-24 00:00:00,Duke,USA,6-10,240.0,5,30,Forward,Inactive,N,1610612757,Trail Blazers,N
1,76003,Kareem Abdul-Jabbar,1947-04-16 00:00:00,UCLA,USA,7-2,225.0,20,33,Center,Inactive,N,1610612747,Lakers,Y
2,1505,Tariq Abdul-Wahad,1974-11-03 00:00:00,San Jose State,France,6-6,235.0,7,9,Forward-Guard,Inactive,N,1610612758,Kings,N
3,949,Shareef Abdur-Rahim,1976-12-11 00:00:00,California,USA,6-9,245.0,13,3,Forward,Inactive,N,1610612763,Grizzlies,N
4,76005,Tom Abernethy,1954-05-06 00:00:00,Indiana,USA,6-7,220.0,5,5,Forward,Inactive,N,1610612744,Warriors,N
5,76006,Forest Able,1932-07-27 00:00:00,Western Kentucky,USA,6-3,180.0,1,6,Guard,Inactive,N,1610612755,Nationals,N
6,76007,John Abramovic,1919-02-09 00:00:00,Salem,USA,6-3,195.0,2,,Forward,Inactive,N,1610610031,Ironmen,N
7,203518,Alex Abrines,1993-08-01 00:00:00,FC Barcelona,Spain,6-6,200.0,3,,Guard,Inactive,N,0,,N
8,1630173,Precious Achiuwa,1999-09-19 00:00:00,Memphis,Nigeria,6-8,225.0,3,5,Forward,Active,N,1610612761,Raptors,N
9,101165,Alex Acker,1983-01-21 00:00:00,Pepperdine,USA,6-5,185.0,3,3,Guard,Inactive,N,1610612746,Clippers,N
10,76008,Donald Ackerman,1930-09-04 00:00:00,Long Island-Brooklyn,USA,6-0,183.0,1,,Guard,Inactive,N,1610612752,Knicks,N
11,76009,Mark Acres,1962-11-15 00:00:00,Oral Roberts,USA,6-11,220.0,6,42,Center,Inactive,N,1610612753,Magic,N
12,76010,Charles Acton,1942-01-11 00:00:00,Hillsdale,USA,6-6,210.0,1,24,Forward,Inactive,N,1610612745,Rockets,N
13,203112,Quincy Acy,1990-10-06 00:00:00,Baylor,USA,6-7,240.0,7,,Forward,Inactive,N,0,,N
14,76011,Alvan Adams,1954-07-19 00:00:00,Oklahoma,USA,6-9,210.0,13,33,Center,Inactive,N,1610612756,Suns,N
15,76012,Don Adams,1947-11-27 00:00:00,Northwestern,USA,6-7,210.0,7,10,Forward,Inactive,N,1610612765,Pistons,N
16,200801,Hassan Adams,1984-06-20 00:00:00,Arizona,USA,6-4,220.0,2,,Forward,Inactive,N,0,,N
17,1629121,Jaylen Adams,1996-05-04 00:00:00,St. Bonaventure,USA,6-0,225.0,3,,Guard,Inactive,N,0,,N
18,203919,Jordan Adams,1994-07-08 00:00:00,UCLA,USA,6-5,209.0,3,3,Guard,Inactive,N,1610612763,Grizzlies,N
19,149,Michael Adams,1963-01-19 00:00:00,Boston College,USA,5-10,165.0,11,23,Guard,Inactive,N,1610612743,Nuggets,N
20,203500,Steven Adams,1993-07-20 00:00:00,Pittsburgh,New Zealand,6-11,265.0,10,4,Center,Active,N,1610612763,Grizzlies,N
21,912,Rafael Addison,1964-07-22 00:00:00,Syracuse,USA,6-8,241.0,6,7,Forward,Inactive,N,1610612751,Nets,N
22,1628389,Bam Adebayo,1997-07-18 00:00:00,Kentucky,USA,6-9,255.0,6,13,Center-Forward,Active,N,1610612748,Heat,N
23,1629061,Deng Adel,1997-02-01 00:00:00,Louisville,South Sudan,6-7,200.0,2,32,Forward,Inactive,N,1610612739,Cavaliers,N
24,76015,Rick Adelman,1946-06-16 00:00:00,Loyola-Marymount,USA,6-2,175.0,7,5,Guard,Inactive,N,1610612757,Trail Blazers,N
25,202399,Jeff Adrien,1986-02-10 00:00:00,Connecticut,USA,,,6,,,Inactive,N,0,,N
26,201167,Arron Afflalo,1985-10-15 00:00:00,UCLA,USA,6-5,210.0,12,4,Guard,Inactive,N,1610612743,Nuggets,N
27,1630534,Ochai Agbaji,2000-04-20 00:00:00,Kansas,USA,6-5,215.0,1,30,Guard,Active,N,1610612762,Jazz,N
28,200772,Maurice Ager,1984-02-09 00:00:00,Michigan State,USA,6-5,202.0,4,,Forward-Guard,Inactive,N,0,,N
29,76016,Mark Aguirre,1959-12-10 00:00:00,DePaul,USA,6-6,232.0,13,7,Forward,Inactive,N,1610612742,Mavericks,N
30,201336,Blake Ahearn,1984-05-27 00:00:00,Missouri State,USA,6-2,190.0,4,2,Guard,Inactive,N,1610612748,Heat,N
31,201582,Alexis Ajinca,1988-05-06 00:00:00,Hyeres-Toulon,France,7-2,248.0,8,42,Center,Inactive,N,1610612740,Pelicans,N
32,76018,Henry Akin,1944-07-31 00:00:00,Morehead State,USA,6-10,225.0,2,10,Center,Inactive,N,1610612752,Knicks,N
33,203006,Josh Akognon,1986-02-10 00:00:00,California State-Fullerton,USA,5-11,185.0,2,10,Guard,Inactive,N,1610612742,Mavericks,N
34,1629152,DeVaughn Akoon-Purcell,1993-06-05 00:00:00,Illinois State,Trinidad and Tobago,6-6,200.0,2,,Guard-Forward,Inactive,N,0,,N
35,202374,Solomon Alabi,1988-03-21 00:00:00,Florida State,Nigeria,7-1,252.0,3,50,Center,Inactive,N,1610612761,Raptors,N
36,76019,Mark Alarie,1963-12-11 00:00:00,Duke,USA,6-8,217.0,5,31,Forward,Inactive,N,1610612764,Bullets,N
37,76020,Gary Alcorn,1936-10-08 00:00:00,Fresno State,USA,6-9,225.0,2,24,Center,Inactive,N,1610612765,Pistons,N
38,1630583,Santi Aldama,2001-01-10 00:00:00,Loyola-Maryland,Spain,7-0,215.0,2,7,Forward-Center,Active,N,1610612763,Grizzlies,N
39,203128,Furkan Aldemir,1991-08-09 00:00:00,Galatasaray,Turkey,6-10,240.0,2,19,Forward-Center,Inactive,N,1610612755,76ers,N
40,202332,Cole Aldrich,1988-10-31 00:00:00,Kansas,USA,6-11,253.0,9,45,Center,Inactive,N,1610612752,Knicks,N
41,200746,LaMarcus Aldridge,1985-07-19 00:00:00,University of Texas at Austin,USA,6-11,250.0,17,21,Center-Forward,Inactive,N,1610612751,Nets,N
42,1626146,Cliff Alexander,1995-11-16 00:00:00,Kansas,USA,6-8,240.0,2,34,Forward,Inactive,N,1610612757,Trail Blazers,N
43,724,Cory Alexander,1973-06-22 00:00:00,Virginia,USA,6-1,190.0,8,12,Guard,Inactive,N,1610612759,Spurs,N
44,201570,Joe Alexander,1986-12-26 00:00:00,West Virginia,USA,6-8,230.0,3,20,Forward,Inactive,N,1610612749,Bucks,N
45,1629734,Kyle Alexander,1996-10-21 00:00:00,Tennessee,Canada,6-10,216.0,2,17,Forward-Center,Inactive,N,1610612748,Heat,N
46,1630234,Ty-Shon Alexander,1998-07-16 00:00:00,Creighton,USA,6-3,195.0,2,0,Guard,Inactive,N,1610612756,Suns,N
47,2349,Victor Alexander,1969-08-31 00:00:00,Iowa State,USA,6-10,265.0,5,9,Forward,Inactive,N,1610612744,Warriors,N
48,1629638,Nickeil Alexander-Walker,1998-09-02 00:00:00,Virginia Tech,Canada,6-5,205.0,4,9,Guard,Active,N,1610612750,Timberwolves,N
49,76024,Steve Alford,1964-11-23 00:00:00,Indiana,USA,6-2,183.0,4,4,Guard,Inactive,N,1610612742,Mavericks,N
50,1628959,Rawle Alkins,1997-10-29 00:00:00,Arizona,USA,6-5,225.0,2,20,Guard,Inactive,N,1610612741,Bulls,N
51,76028,Bob Allen,1946-07-17 00:00:00,Marshall,USA,6-9,205.0,1,50,Forward,Inactive,N,1610612744,Warriors,N
52,1628960,Grayson Allen,1995-10-08 00:00:00,Duke,USA,6-4,198.0,5,12,Guard,Active,N,1610612749,Bucks,N
53,1628386,Jarrett Allen,1998-04-21 00:00:00,Texas,USA,6-9,243.0,6,31,Center,Active,N,1610612739,Cavaliers,N
54,1628443,Kadeem Allen,1993-01-15 00:00:00,Arizona,USA,6-1,200.0,3,,Guard,Inactive,N,0,,N
55,202730,Lavoy Allen,1989-02-04 00:00:00,Temple,USA,6-9,260.0,7,5,Forward-Center,Inactive,N,1610612754,Pacers,N
56,76027,Lucius Allen,1947-09-26 00:00:00,UCLA,USA,6-2,175.0,10,42,Guard,Inactive,N,1610612749,Bucks,N
57,2124,Malik Allen,1978-06-27 00:00:00,Villanova,USA,6-10,255.0,11,35,Forward,Inactive,N,1610612748,Heat,N
58,2754,Tony Allen,1982-01-11 00:00:00,Oklahoma State,USA,6-4,213.0,14,,Guard-Forward,Inactive,N,0,,N
59,76029,Odis Allison,1949-10-02 00:00:00,UNLV,USA,6-6,195.0,1,22,Forward,Inactive,N,1610612744,Warriors,N
60,200984,Lance Allred,1981-02-02 00:00:00,Weber State,USA,6-11,250.0,2,41,Center,Inactive,N,1610612739,Cavaliers,N
61,76030,Darrell Allums,1958-09-12 00:00:00,UCLA,USA,6-8,220.0,1,32,Forward,Inactive,N,1610612742,Mavericks,N
62,201165,Morris Almond,1985-02-02 00:00:00,Rice,USA,6-6,225.0,4,21,Guard,Inactive,N,1610612762,Jazz,N
63,308,Derrick Alston,1972-08-20 00:00:00,Duquesne,USA,6-11,225.0,3,,Center,Inactive,N,0,,N
64,1747,Rafer Alston,1976-07-24 00:00:00,Fresno State,USA,6-2,175.0,11,11,Guard,Inactive,N,1610612745,Rockets,N
65,1824,Peter Aluma,1973-04-26 00:00:00,Liberty,USA,6-10,260.0,1,,Center,Inactive,N,0,,N
66,1630631,Jose Alvarado,1998-04-12 00:00:00,Georgia Tech,USA,6-0,179.0,2,15,Guard,Active,N,1610612740,Pelicans,N
67,680,John Amaechi,1970-11-26 00:00:00,Penn State,United Kingdom,6-10,270.0,6,13,Forward-Center,Inactive,N,1610612753,Magic,N
68,200811,Lou Amundson,1982-12-07 00:00:00,UNLV,USA,6-9,220.0,11,17,Forward,Inactive,N,1610612756,Suns,N
69,2365,Chris Andersen,1978-07-07 00:00:00,Blinn J.C.,USA,6-10,245.0,15,,Forward-Center,Inactive,N,0,,N
70,2431,David Andersen,1980-06-23 00:00:00,FC Barcelona,Australia,,,20,,,Inactive,N,0,,N
71,101187,Alan Anderson,1982-10-16 00:00:00,Michigan State,USA,6-6,220.0,9,9,Forward-Guard,Inactive,N,1610612751,Nets,N
